#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://docs.oasis-open.org/ns/cti/stix#Software	software	http://d3fend.mitre.org/ontologies/d3fend.owl#Software	software	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	10	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Process	process	http://d3fend.mitre.org/ontologies/d3fend.owl#Process	process	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Artifact	artifact	http://d3fend.mitre.org/ontologies/d3fend.owl#Artifact	artifact	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Group	group	http://d3fend.mitre.org/ontologies/d3fend.owl#Group	group	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	6	ALOD2Vec;AML;BertMapLt;KGMatcher;LogMapLt;Matcha
http://docs.oasis-open.org/ns/cti/stix#Tool	tool	http://d3fend.mitre.org/ontologies/d3fend.owl#T1588.002	tool	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Grouping	grouping	http://d3fend.mitre.org/ontologies/d3fend.owl#Grouping	grouping	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	10	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Organization	organization	http://d3fend.mitre.org/ontologies/d3fend.owl#Organization	organization	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#URL	url	http://d3fend.mitre.org/ontologies/d3fend.owl#URL	uniform resource locator	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#File	file	http://d3fend.mitre.org/ontologies/d3fend.owl#File	file	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Vulnerability	vulnerability	http://d3fend.mitre.org/ontologies/d3fend.owl#Vulnerability	vulnerability	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Malware	malware	http://d3fend.mitre.org/ontologies/d3fend.owl#T1588.001	malware	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	10	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Malware	malware	http://d3fend.mitre.org/ontologies/d3fend.owl#T1587.001	malware	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	10	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#NetworkTraffic	network traffic	http://d3fend.mitre.org/ontologies/d3fend.owl#NetworkTraffic	network traffic	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix/ext/archive-file#ArchiveFile	archive file	http://d3fend.mitre.org/ontologies/d3fend.owl#ArchiveFile	archive file	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#UserAccount	user account	http://d3fend.mitre.org/ontologies/d3fend.owl#UserAccount	user account	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#DomainName	domain name	http://d3fend.mitre.org/ontologies/d3fend.owl#DomainName	domain name	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
http://docs.oasis-open.org/ns/cti/stix#Directory	directory	http://d3fend.mitre.org/ontologies/d3fend.owl#Directory	directory	1.0	6	ALOD2Vec;AML;BertMap;KGMatcher;LogMap;Matcha	11	ALOD2Vec;AML;BertMap;BertMapLt;CySecBertMap;KGMatcher;LogMap;LogMapLLM;LogMapLt;Matcha;SecureBertMap
