#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://www.ihtsdo.org/snomed#Structure_of_macula_of_utricle	structure_of_macula_of_utricle	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Macula_of_Utricle	macula of utricle	0.82	4	AML;FCA-Map;XMap;YAM	5	AML;FCAMapX;XMap;XMap2;YAMBIO
http://www.ihtsdo.org/snomed#Myeloid_sarcoma_NOS	myeloid_sarcoma_nos	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Myeloid_Sarcoma	chloroma	0.82	4	AML;FCA-Map;LogMap;YAM	7	AML;FCAMapX;LogMap;LogMapBio;LogMapLite;LogMapLt;YAMBIO
http://www.ihtsdo.org/snomed#Pancuronium	pancuronium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Pancuronium	pancuronium	1.0	7	AML;DOME;FCA-Map;LogMap;ONTOEMMA;XMap;YAM	11	AML;DOME;FCAMapX;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;XMap;XMap2;YAMBIO
http://www.ihtsdo.org/snomed#Clear_cell_meningioma	clear_cell_meningioma	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Clear_Cell_Meningioma	clear cell meningioma	0.82	4	AML;FCA-Map;LogMap;XMap	8	AML;FCAMapX;LogMap;LogMapBio;LogMapLite;LogMapLt;XMap;XMap2
http://www.ihtsdo.org/snomed#Clear_cell_meningioma	clear_cell_meningioma	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Mouse_Clear_Cell_Meningioma	clear cell meningioma	0.88	5	DOME;FCA-Map;LogMap;XMap;YAM	7	DOME;FCAMapX;LogMapLite;LogMapLt;XMap;XMap2;YAMBIO
http://www.ihtsdo.org/snomed#Sulfasalazine	sulfasalazine	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Sulfasalazine	azulfidine	1.0	7	AML;DOME;FCA-Map;LogMap;ONTOEMMA;XMap;YAM	11	AML;DOME;FCAMapX;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;XMap;XMap2;YAMBIO
http://www.ihtsdo.org/snomed#Oprelvekin	oprelvekin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Oprelvekin	interleukin-11-recombinant	0.94	6	DOME;FCA-Map;LogMap;ONTOEMMA;XMap;YAM	8	DOME;FCAMapX;LogMapLite;LogMapLt;ONTOEMMA;XMap;XMap2;YAMBIO
http://www.ihtsdo.org/snomed#Oprelvekin	oprelvekin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Therapeutic_Interleukin-11	il-11	0.76	3	FCA-Map;LogMap;ONTOEMMA	6	FCAMapX;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA
http://www.ihtsdo.org/snomed#Dietary_history_NOS	dietary_history_nos	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Dietary_History	dietary history	0.7	2	FCA-Map;LogMap	5	FCAMapX;LogMap;LogMapBio;LogMapLite;LogMapLt
http://www.ihtsdo.org/snomed#Human_herpesvirus_3	human_herpesvirus_3	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Human_Herpesvirus_3	vzv	0.94	6	AML;DOME;FCA-Map;LogMap;XMap;YAM	8	AML;DOME;FCAMapX;LogMapLite;LogMapLt;XMap;XMap2;YAMBIO
http://www.ihtsdo.org/snomed#Chloroacetate_esterase_stain_method	chloroacetate_esterase_stain_method	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Chloroacetate_Esterase_Staining_Method	chloroacetate esterase staining method	0.76	3	FCA-Map;LogMap;YAM	4	FCAMapX;LogMap;LogMapBio;YAMBIO
http://www.ihtsdo.org/snomed#Symphysis_structure	symphysis_structure	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Amphiarthrosis	symphysis	0.82	4	AML;FCA-Map;LogMap;YAM	4	AML;FCAMapX;LogMapBio;YAMBIO
http://www.ihtsdo.org/snomed#Human_herpesvirus_4	human_herpesvirus_4	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Epstein-Barr_Virus	ebv	0.88	5	AML;DOME;FCA-Map;LogMap;YAM	8	AML;DOME;FCAMapX;LogMap;LogMapBio;LogMapLite;LogMapLt;YAMBIO
http://www.ihtsdo.org/snomed#Biopsy_of_bladder	biopsy_of_bladder	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#Biopsy_of_Bladder	bladder biopsy	1.0	7	AML;DOME;FCA-Map;LogMap;ONTOEMMA;XMap;YAM	11	AML;DOME;FCAMapX;LogMap;LogMapBio;LogMapLite;LogMapLt;ONTOEMMA;XMap;XMap2;YAMBIO
