#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/HP_0100006	neoplasia of the central nervous system	http://purl.bioontology.org/ontology/MESH/D016543	tumors, central nervous system	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100007	tumor of the peripheral nervous system	http://purl.bioontology.org/ontology/MESH/D010524	peripheral nervous system malignant neoplasms	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0030050	narcolepsy	http://purl.bioontology.org/ontology/MESH/D009290	narcolepsy-cataplexy syndromes	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0012622	progressive renal failure	http://purl.bioontology.org/ontology/MESH/D051436	chronic renal disease	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100001	malignant mesothelioma	http://purl.bioontology.org/ontology/MESH/C562839	mesothelioma, malignant	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0010445	ostium primum atrial septal defect	http://purl.bioontology.org/ontology/MESH/C548006	atrial septal defect ostium primum	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0001967	diffuse mesangial sclerosis glomerulopathy	http://purl.bioontology.org/ontology/MESH/C537346	mesangial sclerosis, familial	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0010444	puolmonary valve insufficiency	http://purl.bioontology.org/ontology/MESH/D011665	pulmonary valve insufficiency	0.7	2	AML;LogMap	2	AML;LogMapBio
http://purl.obolibrary.org/obo/HP_0002812	coxa vara	http://purl.bioontology.org/ontology/MESH/D060905	coxa varus	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0010442	polydactyly	http://purl.bioontology.org/ontology/MESH/D017689	hyperdactyly	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0000639	nystagmus	http://purl.bioontology.org/ontology/MESH/D009759	vertical nystagmus	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0010448	large intestinal atresia	http://purl.bioontology.org/ontology/MESH/C562562	colonic atresia	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0010447	fistula in ano	http://purl.bioontology.org/ontology/MESH/D012003	anal fistula	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0010446	tricuspid stenosis	http://purl.bioontology.org/ontology/MESH/D014264	tricuspid valve stenosis	0.7	2	AML;LogMap	2	AML;LogMapBio
http://purl.obolibrary.org/obo/HP_0011779	anaplastic thyroid carcinoma	http://purl.bioontology.org/ontology/MESH/D065646	anaplastic thyroid carcinomas	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0007268	aprosencephaly	http://purl.bioontology.org/ontology/MESH/D000757	anencephalias	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0007269	spinal muscular atrophy	http://purl.bioontology.org/ontology/MESH/D009134	neuronopathy, bulbospinal	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0007263	spinocerebellar atrophy	http://purl.bioontology.org/ontology/MESH/D020754	schut-haymaker type opca	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100008	schwannoma	http://purl.bioontology.org/ontology/MESH/D009442	malignant schwannoma	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0005086	knee osteoarthritis	http://purl.bioontology.org/ontology/MESH/D020370	knees, osteoarthritis of	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100009	intracranial meningioma	http://purl.bioontology.org/ontology/MESH/D008579	intracranial meningiomas	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0030060	nervous tissue neoplasm	http://purl.bioontology.org/ontology/MESH/D009380	nervous tissue neoplasm	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100013	breast tumor	http://purl.bioontology.org/ontology/MESH/D001943	breast malignant tumors	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0011763	pituitary carcinoma	http://purl.bioontology.org/ontology/MESH/D010911	pituitary cancer	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100014	epiretinal membrane	http://purl.bioontology.org/ontology/MESH/D019773	membranes, epiretinal	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100495	mastocytosis	http://purl.bioontology.org/ontology/MESH/D008415	mast-cell disease	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100012	eye tumor	http://purl.bioontology.org/ontology/MESH/D005134	neoplasms, eye	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0001978	extramedullary hematopoiesis	http://purl.bioontology.org/ontology/MESH/D006411	hematopoiesis, extramedullary	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0030066	ependymoblastoma	http://purl.bioontology.org/ontology/MESH/D018242	neuroectodermal tumor, primitive	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0000646	wandering eye	http://purl.bioontology.org/ontology/MESH/D000550	eye, lazy	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0100010	spinal meningioma	http://purl.bioontology.org/ontology/MESH/D008579	intracranial meningiomas	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0030067	peripheral primitive neuroectodermal neoplasm	http://purl.bioontology.org/ontology/MESH/D018241	primitive neuroectodermal tumor, extracranial	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0030068	olfactory esthesioneuroblastoma	http://purl.bioontology.org/ontology/MESH/D018304	olfactory esthesioneuroblastomas	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://purl.obolibrary.org/obo/HP_0000648	optic atrophy	http://purl.bioontology.org/ontology/MESH/D009896	atrophy, optic	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
