#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://www.orpha.net/ORDO/Orphanet_124	congenital hypoplastic anemia, blackfan-diamond type	http://purl.bioontology.org/ontology/MESH/D029503	congenital anemias, hypoplastic	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_370109	v-at	http://purl.bioontology.org/ontology/MESH/C566865	ataxia-telangiectasia variant	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_125	bsyn	http://purl.bioontology.org/ontology/MESH/D001816	bloom's syndrome	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_128	diphyllobothriasis	http://purl.bioontology.org/ontology/MESH/D004169	diphyllobothriases	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_127	intellectual disability-epilepsy-endocrine disorders syndrome	http://purl.bioontology.org/ontology/MESH/C536575	borjeson syndrome	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_2565	mononen-karnes-senac syndrome	http://purl.bioontology.org/ontology/MESH/C535914	mononen karnes senac syndrome	0.7	2	AML;BioPortal	2	AML;BioPortal
http://www.orpha.net/ORDO/Orphanet_1231	barber-say syndrome	http://purl.bioontology.org/ontology/MESH/C537908	barber-say syndrome	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_1237	beemer-ertbruggen syndrome	http://purl.bioontology.org/ontology/MESH/C537668	beemer lethal malformation syndrome	0.7	2	AML;BioPortal	2	AML;BioPortal
http://www.orpha.net/ORDO/Orphanet_2561	pyramidal molar-glaucoma-upper abnormal lip syndrome	http://purl.bioontology.org/ontology/MESH/C538170	pyramidal molars, glaucoma, abnormal upper lip	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_122	fibrofolliculomas with trichodiscomas and acrochordons	http://purl.bioontology.org/ontology/MESH/D058249	hornstein-birt-hogg-dubã© syndrome	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_2564	tetramelic monodactyly	http://purl.bioontology.org/ontology/MESH/C566066	tetramelic monodactyly	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_1239	behr syndrome	http://purl.bioontology.org/ontology/MESH/C537669	optic atrophy, infantile hereditary, behr complicated form of	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_118786	citrin	http://purl.bioontology.org/ontology/MESH/C008822	citrin	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_113	bdcs	http://purl.bioontology.org/ontology/MESH/C537663	follicular atrophoderma-basocellular proliferations-hypotrichosis syndrome	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_79434	platinum oculocutaneous albinism	http://purl.bioontology.org/ontology/MESH/C537729	albinism, yellow mutant type	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_79433	xanthous oculocutaneous albinism	http://purl.bioontology.org/ontology/MESH/C537731	albinism, oculocutaneous, type 3	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_79433	xanthous oculocutaneous albinism	http://purl.bioontology.org/ontology/MESH/C537189	xanthism	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_112	bartter syndrome	http://purl.bioontology.org/ontology/MESH/D001477	juxtaglomerular hyperplasia with secondary aldosteronism	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_115	beals-hecht syndrome	http://purl.bioontology.org/ontology/MESH/C536211	contractural arachnodactyly, congenital	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_114	auriculoosteodysplasia	http://purl.bioontology.org/ontology/MESH/C538271	multiple osseous dysplasia, characteristic ear shape, and short stature	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_2571	x-linked immunoneurologic disorder	http://purl.bioontology.org/ontology/MESH/C536743	woods black norbury syndrome	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_1240	metaphyseal acroscyphodysplasia	http://purl.bioontology.org/ontology/MESH/C537350	metaphyseal acroscyphodysplasia	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_116	wiedemann-beckwith syndrome	http://purl.bioontology.org/ontology/MESH/D001506	beckwith wiedemann syndrome	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_119	beta-sarcoglycanopathy	http://purl.bioontology.org/ontology/MESH/C535435	beta-sarcoglycanopathy	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_118	beta-mannosidase deficiency	http://purl.bioontology.org/ontology/MESH/D044905	beta-mannosidase deficiency	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_2576	mulibrey nanism	http://purl.bioontology.org/ontology/MESH/D050336	mulibrey nanism	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_2572	mousa-al din-al nassar syndrome	http://purl.bioontology.org/ontology/MESH/C536989	bedouin spastic ataxia syndrome	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_79430	hermansky-pudlak syndrome	http://purl.bioontology.org/ontology/MESH/D022861	hermanski pudlak syndrome	0.7	2	AML;LogMap	3	AML;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_2573	idiopathic moyamoya disease	http://purl.bioontology.org/ontology/MESH/D009072	progressive intracranial occlusive arteropathy (moyamoya)	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_1247	schistosomiasis	http://purl.bioontology.org/ontology/MESH/D012552	bilharziasis	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://www.orpha.net/ORDO/Orphanet_111	barth syndrome	http://purl.bioontology.org/ontology/MESH/D056889	3-methylglutaconicaciduria type 2s	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
