#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/DOID_5688	ws	http://purl.bioontology.org/ontology/MESH/D014898	syndrome, werner's	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_5684	spondyloepimetaphyseal dysplasia, sponastrime type	http://purl.bioontology.org/ontology/MESH/C535786	spondylar and nasal alterations with striated metaphyses	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_11996	spermatic cord torsion	http://purl.bioontology.org/ontology/MESH/D013086	torsion of testicular cord	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_11997	spermatocele	http://purl.bioontology.org/ontology/MESH/D013088	spermatocele	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_11991	osteopoikilosis	http://purl.bioontology.org/ontology/MESH/D010023	osteopoikiloses	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_13709	premature ejaculation	http://purl.bioontology.org/ontology/MESH/D061686	premature ejaculations	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_4347	lymph cyst	http://purl.bioontology.org/ontology/MESH/D008210	cyst, lymphatic	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_3012	li-fraumeni syndrome	http://purl.bioontology.org/ontology/MESH/D016864	li fraumeni syndrome	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_10646	schizotypal personality disorder	http://purl.bioontology.org/ontology/MESH/D012569	disorder, schizotypal personality	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_8736	smallpox	http://purl.bioontology.org/ontology/MESH/D012899	variola minors	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_3047	wissler-fanconi syndrome (finding)	http://purl.bioontology.org/ontology/MESH/D014924	wissler syndrome	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_3049	allergic granulomatosis angiitis (disorder)	http://purl.bioontology.org/ontology/MESH/D015267	vasculitis, churg-strauss	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_7400	microcephaly, normal intelligence and immunodeficiency (disorder)	http://purl.bioontology.org/ontology/MESH/D049932	ataxia telangiectasia variant 1	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_4374	silo filler's disease	http://purl.bioontology.org/ontology/MESH/D012832	silo filler's disease	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_4372	intracranial embolism	http://purl.bioontology.org/ontology/MESH/D020766	emboli, cerebral	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_4371	schnitzler syndrome	http://purl.bioontology.org/ontology/MESH/D019873	schnitzler syndrome	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_11975	coloboma of optic disc	http://purl.bioontology.org/ontology/MESH/C535970	optic nerve coloboma	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_11971	synostosis	http://purl.bioontology.org/ontology/MESH/D013580	synostosis	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_11983	prader willi syndrome	http://purl.bioontology.org/ontology/MESH/D011218	syndrome, royer's	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_5648	choroid plexus carcinoma	http://purl.bioontology.org/ontology/MESH/C562943	choroid plexus carcinoma	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_0110208	charcot-marie-tooth disease x-linked recessive 2	http://purl.bioontology.org/ontology/MESH/C535302	cmtx2	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
http://purl.obolibrary.org/obo/DOID_5644	tricuspid valve prolapse	http://purl.bioontology.org/ontology/MESH/D014263	prolapses, tricuspid valve	1.0	3	AML;BioPortal;LogMap	4	AML;BioPortal;LogMap;LogMapBio
