#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/HP_0011771	autoimmune hypoparathyroidism	http://www.orpha.net/ORDO/Orphanet_36913	autoimmune hypoparathyroidism	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0100002	pleural mesothelioma	http://www.orpha.net/ORDO/Orphanet_50251	pleural mesothelioma	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0100003	peritoneal mesothelioma	http://www.orpha.net/ORDO/Orphanet_168811	malignant peritoneal mesothelioma	0.7428571428571428	3	AML;DisMatch;LogMap	5	AML;DisMatch_ar;DisMatch_sg;DisMatch_tr;LogMapBio
http://purl.obolibrary.org/obo/HP_0010445	ostium primum atrial septal defect	http://www.orpha.net/ORDO/Orphanet_99106	atrial septal defect, ostium primum type	0.7428571428571428	3	AML;DisMatch;POMAP	5	AML;DisMatch_ar;DisMatch_sg;DisMatch_tr;POMAP
http://purl.obolibrary.org/obo/HP_0030056	uncombable hair	http://www.orpha.net/ORDO/Orphanet_1410	pili trianguli et canaliculi	0.7428571428571428	3	DisMatch;KEPLER;POMAP	5	DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;POMAP
http://purl.obolibrary.org/obo/HP_0010442	polydactyly	http://www.orpha.net/ORDO/Orphanet_2913	polydactyly	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0000631	retinal arterial tortuosity	http://www.orpha.net/ORDO/Orphanet_75326	retinal hemorrhage with vascular tortuosity	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0010448	large intestinal atresia	http://www.orpha.net/ORDO/Orphanet_1198	colonic atresia	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0011779	anaplastic thyroid carcinoma	http://www.orpha.net/ORDO/Orphanet_142	anaplastic thyroid carcinoma	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0100008	schwannoma	http://www.orpha.net/ORDO/Orphanet_252164	neurilemoma	0.8285714285714285	5	AML;DisMatch;LogMap;POMAP;XMap	8	AML;DisMatch_ar;DisMatch_sg;DisMatch_tr;LogMap;LogMapBio;POMAP;XMap
http://purl.obolibrary.org/obo/HP_0008112	plantar flexion contractures	http://www.orpha.net/ORDO/Orphanet_251515	distal arthrogryposis type 10	0.7428571428571428	3	AML;LogMap;POMAP	4	AML;LogMap;LogMapBio;POMAP
http://purl.obolibrary.org/obo/HP_0011761	non-functional pituitary adenoma	http://www.orpha.net/ORDO/Orphanet_314786	silent pituitary adenoma	0.7428571428571428	3	AML;LogMap;ONTOEMMA	4	AML;LogMap;LogMapBio;ONTOEMMA
http://purl.obolibrary.org/obo/HP_0011763	pituitary carcinoma	http://www.orpha.net/ORDO/Orphanet_300385	pituitary carcinoma	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0100495	mastocytosis	http://www.orpha.net/ORDO/Orphanet_98292	mastocytosis	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0030066	ependymoblastoma	http://www.orpha.net/ORDO/Orphanet_251880	ependymoblastoma	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;ONTOEMMA;POMAP;XMap;YAM	13	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;ONTOEMMA;POMAP;XMap;YAM-BIO
http://purl.obolibrary.org/obo/HP_0030067	peripheral primitive neuroectodermal neoplasm	http://www.orpha.net/ORDO/Orphanet_370348	peripheral pnet	0.7428571428571428	3	AML;KEPLER;XMap	3	AML;KEPLER;XMap
http://purl.obolibrary.org/obo/HP_0030068	olfactory esthesioneuroblastoma	http://www.orpha.net/ORDO/Orphanet_1957	esthesioneuroblastoma	0.7857142857142857	4	AML;DisMatch;POMAP;XMap	6	AML;DisMatch_ar;DisMatch_sg;DisMatch_tr;POMAP;XMap
