#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/MP_0020231	abnormal tyrosine aminotransferase level	http://www.orpha.net/ORDO/Orphanet_119928	tyrosine aminotransferase	0.7	2	AML;DisMatch	2	AML;DisMatch_ar
http://purl.obolibrary.org/obo/MP_0009439	emmt	http://www.orpha.net/ORDO/Orphanet_86850	chloroma	0.8285714285714285	5	AML;DisMatch;LogMap;POMAP;Tool1	8	AML;DisMatch_ar;DisMatch_sg;DisMatch_tr;LogMap;LogMapBio;POMAP;Tool1
http://purl.obolibrary.org/obo/MP_0009442	ovarian teratoma	http://www.orpha.net/ORDO/Orphanet_398987	malignant teratoma of ovary	0.7	2	DisMatch;POMAP	4	DisMatch_ar;DisMatch_sg;DisMatch_tr;POMAP
http://purl.obolibrary.org/obo/MP_0009440	myeloma	http://www.orpha.net/ORDO/Orphanet_98282	plasma cell tumor	0.8285714285714285	5	AML;LogMap;PAXO;POMAP;Tool1	7	AML;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict;POMAP;Tool1
http://purl.obolibrary.org/obo/MP_0010427	double outlet heart left ventricle	http://www.orpha.net/ORDO/Orphanet_3427	dolv	1.0	9	AML;BioPortal;DisMatch;KEPLER;LogMap;PAXO;POMAP;Tool1;YAM	14	AML;BioPortal;DisMatch_ar;DisMatch_sg;DisMatch_tr;KEPLER;LogMap;LogMapBio;LogMapLite;PAXO_Relaxed;PAXO_Strict;POMAP;Tool1;YAMBIO
http://purl.obolibrary.org/obo/MP_0010422	heart right ventricle hypoplasia	http://www.orpha.net/ORDO/Orphanet_439	isolated right ventricular hypoplasia	0.7428571428571428	3	DisMatch;PAXO;POMAP	4	DisMatch_sg;DisMatch_tr;PAXO_Relaxed;POMAP
http://purl.obolibrary.org/obo/MP_0002811	macrocytic anemia	http://www.orpha.net/ORDO/Orphanet_119999	d22s676	0.7428571428571428	3	AML;LogMap;POMAP	4	AML;LogMap;LogMapBio;POMAP
http://purl.obolibrary.org/obo/MP_0020225	bone necrosis	http://www.orpha.net/ORDO/Orphanet_399158	bone necrosis	0.7428571428571428	3	AML;LogMap;POMAP	4	AML;LogMap;LogMapBio;POMAP
http://purl.obolibrary.org/obo/MP_0009452	abnormal synaptonemal complex	http://www.orpha.net/ORDO/Orphanet_448829	synaptonemal complex protein 3	0.7	2	AML;DisMatch	4	AML;DisMatch_ar;DisMatch_sg;DisMatch_tr
http://purl.obolibrary.org/obo/MP_0011765	increased urine orotic acid level	http://www.orpha.net/ORDO/Orphanet_30	hereditary orotic aciduria	0.7428571428571428	3	AML;LogMap;POMAP	4	AML;LogMap;LogMapBio;POMAP
