#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.allotrope.org/ontologies/function#AFFN_0000113	to import	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73599	import	0.85	3	AML;LogMap;PAXO	3	AML;LogMapLt;PAXO_Relaxed
http://purl.allotrope.org/ontologies/role#AFRL_0000352	specimen role	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19157	specimen	0.7	2	AML;LogMap	4	AML;LogMap;LogMapBio;LogMapLt
http://purl.allotrope.org/ontologies/function#AFFN_0000115	directing function	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62254	direct	0.7	2	AML;LogMap	2	AML;LogMapLt
http://purl.allotrope.org/ontologies/result#AFR_0001523	baseline end	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25213	baseline	0.7	2	LogMap;PAXO	2	LogMapLt;PAXO_Relaxed
http://purl.allotrope.org/ontologies/role#AFRL_0000233	standard	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81893	standard	0.7	2	AML;LogMap	4	AML;LogMap;LogMapBio;LogMapLt
http://purl.allotrope.org/ontologies/material#AFM_0000394	fluid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25278	fluid	0.85	3	BioPortal;LogMap;PAXO	6	BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.allotrope.org/ontologies/function#AFFN_0000119	to mix	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64925	mix	0.7	2	AML;LogMap	2	AML;LogMapLt
http://purl.allotrope.org/ontologies/function#AFFN_0000112	to export	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71586	export	0.85	3	AML;LogMap;PAXO	3	AML;LogMapLt;PAXO_Relaxed
http://purl.allotrope.org/ontologies/process#AFP_0001994	monitor	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C139456	trend analysis	0.7	2	AML;LogMap	4	AML;LogMap;LogMapBio;LogMapLt
http://purl.allotrope.org/ontologies/process#AFP_0001750	flushing	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26775	flushing	0.7	2	AML;LogMap	2	AML;LogMapLt
