#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://www.ebi.ac.uk/efo/EFO_0001674	placebo therapy	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C753	placebo	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0000349	kidney clear cell adenocarcinoma	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4033	clear cell renal cell carcinoma	0.85	3	FCA-Map;LogMap;PAXO	5	FCAMapKG;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004705	hypothyroidism	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C26800	hypothyroidism	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004704	age at menopause	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C106497	age at menopause	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0000348	water-clear cell adenocarcinoma (morphologic abnormality)	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C36815	adenocarcinoma clear cell	0.7	2	FCA-Map;LogMap	2	FCAMapKG;LogMapLt
http://www.ebi.ac.uk/efo/EFO_0000348	water-clear cell adenocarcinoma (morphologic abnormality)	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3766	clear cell adenocarcinoma	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004703	age at menarche	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19666	age at menarche	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0000341	pulm dis chronic obstructive	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3199	chronic obstructive pulmonary disease	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	6	BioPortal;FCAMapKG;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0000342	recurrent pancreatitis (disorder)	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84637	chronic pancreatitis	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004708	nshd	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3518	nodular sclerosis classic hodgkin lymphoma	0.7	2	LogMap;PAXO	4	LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004707	infantile hypertrophy of the pylorus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C98952	hypertrophic pyloric stenosis	0.7	2	LogMap;PAXO	4	LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004711	elephantiasis nos	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34569	elephantiasis	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004714	sexual dysfunction	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3347	sexual dysfunction	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0000352	clinicalhistory	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C159310	clinical history	0.85	3	BioPortal;FCA-Map;LogMap	4	BioPortal;FCAMapKG;LogMapBio;LogMapLt
http://www.ebi.ac.uk/efo/EFO_0000350	clear cell sarcoma of kidney (morphologic abnormality)	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C4264	clear cell sarcoma of the kidney	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004719	pemphigus vulgaris	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34910	pemphigus vulgaris	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0004718	vascular dementia	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C34525	vascular dementia	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0001654	basal	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C90067	basal	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0001655	distal	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25237	distal	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.ebi.ac.uk/efo/EFO_0001653	apical	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25423	apical	1.0	4	BioPortal;FCA-Map;LogMap;PAXO	7	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
