#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.allotrope.org/ontologies/result#AFR_0000439	mass spectrum	http://purl.obolibrary.org/obo/CHMO_0000806	mass spectra	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
http://purl.allotrope.org/ontologies/result#AFR_0000319	action spectrum	http://purl.obolibrary.org/obo/CHMO_0000831	action spectrum	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
http://purl.allotrope.org/ontologies/result#AFR_0001527	three-dimensional ultraviolet spectrum	http://purl.obolibrary.org/obo/CHMO_0001254	ultra-violet spectrum	0.7749999999999999	3	AML;LogMap;POMAP	5	AML;LogMap;LogMapBio;LogMapLt;POMAP++
http://purl.allotrope.org/ontologies/result#AFR_0000317	vis spectrum	http://purl.obolibrary.org/obo/CHMO_0001959	vis spectrum	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
http://purl.allotrope.org/ontologies/result#AFR_0000438	incident-photon-to-current conversion efficiency spectrum	http://purl.obolibrary.org/obo/CHMO_0001066	incident photon conversion efficiency spectra	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
http://purl.allotrope.org/ontologies/process#AFP_0002293	sonication	http://purl.obolibrary.org/obo/CHMO_0001707	sonication	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
http://purl.allotrope.org/ontologies/process#AFP_0002171	viscometry	http://purl.obolibrary.org/obo/CHMO_0001135	viscometry	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
http://purl.allotrope.org/ontologies/equipment#AFE_0000078	capillary column	http://purl.obolibrary.org/obo/CHMO_0000987	capillary column	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
http://purl.allotrope.org/ontologies/equipment#AFE_0000073	automated sampler	http://purl.obolibrary.org/obo/CHMO_0002579	autosampler	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
http://purl.allotrope.org/ontologies/result#AFR_0000443	ion chromatogram	http://purl.obolibrary.org/obo/CHMO_0002388	ion chromatogram	1.0	6	AML;BioPortal;LogMap;PAXO;POMAP;SANOM	9	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;POMAP++;SANOM
