#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://www.bioassayontology.org/bao#BAO_0003049	caspase-3	http://purl.bioontology.org/ontology/MESH/D053148	apopain	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0003054	tricine	http://purl.bioontology.org/ontology/MESH/C100184	tricine	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0003057	glutathione	http://purl.bioontology.org/ontology/MESH/D005978	gamma-l-glutamyl-l-cysteinylglycine	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0002080	polymerase chain reaction	http://purl.bioontology.org/ontology/MESH/D016133	nested polymerase chain reaction	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0002066	serum albumin	http://purl.bioontology.org/ontology/MESH/D012709	albumin, serum	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0000933	gw8510	http://purl.bioontology.org/ontology/MESH/C500810	gw8510	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0000823	3-o-methylfluorescein phosphate	http://purl.bioontology.org/ontology/MESH/C032079	3-o-mfp	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0000947	interleukin-8	http://purl.bioontology.org/ontology/MESH/D016209	chemotactic factor, macrophage-derived	1.0	4	AML;BioPortal;LogMap;PAXO	6	AML;BioPortal;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0000826	6,8-difluoro-4-methylumbelliferyl phosphate	http://purl.bioontology.org/ontology/MESH/C119285	6,8-difluoro-mup	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0000825	5-carboxamidotryptamine	http://purl.bioontology.org/ontology/MESH/C047087	5-carboxyamidotryptamine	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0000920	galanin	http://purl.bioontology.org/ontology/MESH/D019004	galanin	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0000927	glycogen	http://purl.bioontology.org/ontology/MESH/D006003	glycogen	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0000925	glucose-6-phosphate	http://purl.bioontology.org/ontology/MESH/D019298	glucose-6-phosphate	0.85	3	AML;LogMap;PAXO	5	AML;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0000924	glucose	http://purl.bioontology.org/ontology/MESH/D005947	glucose	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0150045	solid state laser	http://purl.bioontology.org/ontology/MESH/D053844	lasers, diode pumped solid state	0.85	3	AML;LogMap;PAXO	5	AML;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0001028	thallium	http://purl.bioontology.org/ontology/MESH/D013793	thallium	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0001026	texas red	http://purl.bioontology.org/ontology/MESH/C034657	1h,5h,11h,15h-xantheno(2,3,4-ij:5,6,7-i'j')diquinolizin-18-ium, 9-(2(or 4)-(chlorosulfonyl)phenyl)-2,3,6,7,12,13,16,17-octahydro-	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0001034	thyrotropin-releasing hormone	http://purl.bioontology.org/ontology/MESH/D013973	protirelin	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0001030	thapsigargin	http://purl.bioontology.org/ontology/MESH/D019284	thapsigargin	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0002135	solubility	http://purl.bioontology.org/ontology/MESH/D012995	solubility	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0001041	ubiquitin vinyl sulfone	http://purl.bioontology.org/ontology/MESH/C437324	ubiquitin vinyl sulfone	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0001006	resorufin	http://purl.bioontology.org/ontology/MESH/C014180	resorufin	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0001004	r18 peptide	http://purl.bioontology.org/ontology/MESH/C527524	r18 peptide	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0002580	malachite green	http://purl.bioontology.org/ontology/MESH/C005095	malachite green, oxalate (1:1)	0.85	3	AML;BioPortal;LogMap	5	AML;BioPortal;LogMap;LogMapBio;LogMapLt
http://www.bioassayontology.org/bao#BAO_0002342	decision tree	http://purl.bioontology.org/ontology/MESH/D003663	tree, decision	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0001013	rolipram	http://purl.bioontology.org/ontology/MESH/D020889	rolipram	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0000161	circular dichroism	http://purl.bioontology.org/ontology/MESH/D002942	circular dichroism, vibrational	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0150033	laser	http://purl.bioontology.org/ontology/MESH/D007834	q-switched laser	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0150035	dye laser	http://purl.bioontology.org/ontology/MESH/D054025	lasers, pulsed dye	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0150036	gas laser	http://purl.bioontology.org/ontology/MESH/D054020	lasers, carbon dioxide	0.85	3	AML;LogMap;PAXO	5	AML;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0002346	principal component analysis	http://purl.bioontology.org/ontology/MESH/D025341	principal component analysis	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0002109	mitogen-activated protein kinase 14	http://purl.bioontology.org/ontology/MESH/D048308	csaid binding protein	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0002351	natural language processing	http://purl.bioontology.org/ontology/MESH/D009323	processings, natural language	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
