#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/CHMO_0000613	pulsed nuclear magnetic resonance spectroscopy	http://purl.bioontology.org/ontology/MESH/D009682	nuclear magnetic resonance	0.85	3	AML;LogMap;PAXO	4	AML;LogMap;LogMapBio;PAXO_Relaxed
http://purl.obolibrary.org/obo/CHMO_0001707	sonication	http://purl.bioontology.org/ontology/MESH/D013010	sonication	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002915	absorption of radiation	http://purl.bioontology.org/ontology/MESH/D065638	absorption, radiation	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0001700	pulse radiolysis	http://purl.bioontology.org/ontology/MESH/D011675	radiolysis, pulse	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000988	chromatography paper	http://purl.bioontology.org/ontology/MESH/D002854	paper chromatographies	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002801	limit of detection	http://purl.bioontology.org/ontology/MESH/D057230	detection limits	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000831	action spectrum	http://purl.bioontology.org/ontology/MESH/D000067549	spectrum, action	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0001810	synchrotron	http://purl.bioontology.org/ontology/MESH/D017356	synchrotrons	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000946	optical tweezers	http://purl.bioontology.org/ontology/MESH/D052898	laser tweezer	1.0	4	AML;BioPortal;LogMap;PAXO	6	AML;BioPortal;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002099	laser holography	http://purl.bioontology.org/ontology/MESH/D006696	holography	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000924	magnetometry	http://purl.bioontology.org/ontology/MESH/D060306	magnetometry	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0001082	osmometry	http://purl.bioontology.org/ontology/MESH/D061286	osmometry	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002275	npage	http://purl.bioontology.org/ontology/MESH/D063347	native page	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002393	ion-selective electrode	http://purl.bioontology.org/ontology/MESH/D017736	electrode, ion-sensitive	0.85	3	AML;LogMap;PAXO	5	AML;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002043	lda	http://purl.bioontology.org/ontology/MESH/D017078	flowmetry, doppler-laser	0.85	3	AML;LogMap;PAXO	4	AML;LogMap;LogMapBio;PAXO_Relaxed
http://purl.obolibrary.org/obo/CHMO_0001077	qcm	http://purl.bioontology.org/ontology/MESH/D058525	quartz crystal microbalance	0.85	3	AML;LogMap;PAXO	5	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed
http://purl.obolibrary.org/obo/CHMO_0002372	electronic tongue	http://purl.bioontology.org/ontology/MESH/D062609	electronic tongue	0.85	3	AML;LogMap;PAXO	5	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed
http://purl.obolibrary.org/obo/CHMO_0001042	denaturing gradient gel electrophoresis	http://purl.bioontology.org/ontology/MESH/D058645	temperature gradient gel electrophoresis	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000073	scanning electron microscopy	http://purl.bioontology.org/ontology/MESH/D008855	microscopy, electron, scanning	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002017	density-gradient centrifugation	http://purl.bioontology.org/ontology/MESH/D002499	density gradient centrifugation	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002018	sedimentation equilibrium centrifugation	http://purl.bioontology.org/ontology/MESH/D002500	isopycnic centrifugation	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0002016	ultracentrifugation	http://purl.bioontology.org/ontology/MESH/D014461	ultracentrifugation	1.0	4	AML;BioPortal;LogMap;PAXO	7	AML;BioPortal;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000082	ef/tem	http://purl.bioontology.org/ontology/MESH/D046032	energy-filtered transmission electron microscopy	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0001050	reversed-phase liquid chromatography	http://purl.bioontology.org/ontology/MESH/D056148	chromatography, reverse phase	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000080	transmission electron microscopy	http://purl.bioontology.org/ontology/MESH/D046529	microscopy, transmission electron	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000087	fluorescence microscopy	http://purl.bioontology.org/ontology/MESH/D008856	immunofluorescence microscopies	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0000086	stem	http://purl.bioontology.org/ontology/MESH/D017348	scanning transmission electron microscopy	0.85	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
