#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/CHMO_0001826	electrophoretic light scattering	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78868	electrophoretic light scattering	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000979	reflectron	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70697	reflectron	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000619	pulsed laser photoacoustic spectroscopy	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C103229	photoacoustic spectroscopy	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0001707	sonication	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C81871	sonication	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0002914	absorption of material	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71731	material absorption	0.76	3	LogMap;PAXO;YAM	6	LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0001700	pulse radiolysis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17044	pulse radiolysis	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000732	synchrotron radiation x-ray diffraction	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C66898	synchrotron x-ray diffraction	0.76	3	AML;LogMap;PAXO	6	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/CHMO_0001957	flow cytometer	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78806	flow cytometer	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000982	mass spectrometer	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47875	mass spectrometer	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0002801	limit of detection	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105701	detection limit	0.82	4	AML;LogMap;PAXO;YAM	7	AML;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000502	icr-ft-ms	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C116571	fourier transform ion cyclotron resonance mass spectrometry	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000986	stationary phase	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70673	stationary phase	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000954	atomic force microscope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78804	atomic force microscope	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000953	microscope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20677	microscope	0.82	4	BioPortal;FCA-Map;LogMap;XMap	4	BioPortal;FCAMapKG;LogMapLt;XMap
http://purl.obolibrary.org/obo/CHMO_0001938	cid	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48061	collision-induced dissociation	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0001810	synchrotron	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48205	synchrotron	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000946	optical tweezers	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C62320	optical tweezers	0.94	6	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap	8	AML;BioPortal;FCAMapKG;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap
http://purl.obolibrary.org/obo/CHMO_0000943	spm	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78803	scanning probe microscope	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000701	liquid chromatography tandem mass spectrometry	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C122168	liquid chromatography/tandem mass spectrometry	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0001910	structure data	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142699	structured data	0.76	3	FCA-Map;LogMap;YAM	4	FCAMapKG;LogMap;LogMapBio;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000941	sem	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78814	scanning electron microscope	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0000800	spectrum plot	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C84383	spectrum	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	8	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0002196	activation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64382	activation	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	8	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0002177	darkfield microscopy	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85837	dark field microscopy	0.94	6	AML;BioPortal;FCA-Map;PAXO;XMap;YAM	7	AML;BioPortal;FCAMapKG;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0001088	electron microscope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28219	electron microscope	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0001085	fluorescence-activated cell sorting	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17353	fluorescence activated cell sorting	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/CHMO_0001099	tem	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78813	transmission electron microscope	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
