#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/ERO_0001332	capillary electrophoresis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17637	capillary electrophoresis	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/ERO_0001334	biopsy	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15189	biopsy	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	9	AML;BioPortal;FCAMapKG;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/ERO_0000361	hemocytometer	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78807	hemocytometer	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/ERO_0001693	sodium dodecyl sulfate polyacrylamide gel electrophoresis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18150	sodium dodecylsulfate-polyacrylamide gel electrophoresis	0.82	4	AML;BioPortal;LogMap;PAXO	6	AML;BioPortal;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/ERO_0001331	electrospray ionization	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19363	electrospray ionization	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/ERO_0000001	laboratory	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37984	laboratory	0.88	5	BioPortal;FCA-Map;LogMap;PAXO;XMap	6	BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap
http://purl.obolibrary.org/obo/ERO_0001219	quality control	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311	quality control	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/ERO_0000007	technique	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16847	technique	0.88	5	BioPortal;FCA-Map;LogMap;PAXO;XMap	7	BioPortal;FCAMapKG;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap
http://purl.obolibrary.org/obo/ERO_0000006	reagent	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C802	reagent	0.94	6	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap
http://purl.obolibrary.org/obo/ERO_0000248	transmission electron microscope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78813	transmission electron microscope	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/ERO_0001337	electroencephalography	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C38054	electroencephalography	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
http://purl.obolibrary.org/obo/ERO_0001218	data management	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18086	data management	1.0	7	AML;BioPortal;FCA-Map;LogMap;PAXO;XMap;YAM	10	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;XMap;YAMBIO
