#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/MS_1000934	gene name	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164806	gene name	0.9	4	AML;BioPortal;FCA-Map;LogMap	4	AML;BioPortal;FCAMapKG;LogMapLt
http://purl.obolibrary.org/obo/MS_1001348	fasta format	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C47845	fasta format	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	8	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000133	collisionally activated dissociation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48061	collision-induced dissociation	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	8	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000014	accuracy	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C49145	accuracy	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	8	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000364	fragment ion	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C54173	fragment ion	0.9	4	BioPortal;FCA-Map;LogMap;PAXO	5	BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000236	transmission	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C71292	transmission	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	6	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000237	unified atomic mass unit	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C41127	unified atomic mass unit	0.9	4	BioPortal;FCA-Map;LogMap;PAXO	5	BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000238	accelerator mass spectrometry	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C135452	accelerator mass spectrometry	0.9	4	BioPortal;FCA-Map;LogMap;PAXO	5	BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000231	peak	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C48054	peak	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	8	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000592	smoothing	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C64202	smoothing	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	6	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000908	reaction	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75958	transition	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	6	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000224	molecular mass	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28272	molecular mass	0.9	4	BioPortal;FCA-Map;LogMap;PAXO	5	BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1002883	median	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28007	median	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	8	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000220	isotope dilution mass spectrometry	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C99492	isotope dilution mass spectrometry	0.9	4	BioPortal;FCA-Map;LogMap;PAXO	5	BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1002885	standard error	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53323	standard error	1.0	5	AML;BioPortal;FCA-Map;LogMap;PAXO	8	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://purl.obolibrary.org/obo/MS_1000460	unit	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C68553	unit	0.9	4	BioPortal;FCA-Map;LogMap;PAXO	5	BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
