#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://www.bioassayontology.org/bao#BAO_0003049	caspase-3	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18031	caspase-3	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002084	real-time pcr 	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51962	real time pcr	0.925	5	AML;BioPortal;FCA-Map;PAXO;YAM	6	AML;BioPortal;FCAMapKG;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002088	activator	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C154897	activator	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0003057	glutathione	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C523	glutathione	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0003058	inducer	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120268	inducer	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002080	polymerase chain reaction	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17003	polymerase chain reaction	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0003063	substrate	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C120264	substrate	0.925	5	BioPortal;FCA-Map;LogMap;PAXO;YAM	8	BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0003064	target	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25702	target	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	7	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0003067	product	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C51980	product	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	7	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0165000	people	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95553	people	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	7	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002066	serum albumin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28187	serum albumin	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0003037	tmax	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70919	tmax	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000947	interleukin-8	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C20473	interleukin-8	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0190008	cells per microliter	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C67242	cells per microliter	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0190001	ratio	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C44256	ratio	0.925	5	AML;BioPortal;FCA-Map;LogMap;PAXO	6	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict
http://www.bioassayontology.org/bao#BAO_0003074	endogenous	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C28223	endogenous	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0040007	image segmentation	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80146	image segmentation	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0003070	extract	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C82948	extract	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	7	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000920	galanin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C148351	galanin	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	8	AML;BioPortal;FCAMapKG;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000927	glycogen	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C96523	glycogen	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000924	glucose	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2831	glucose	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0001028	thallium	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C95188	thallium	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002238	basic local alignment search tool	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C80132	basic local alignment search tool	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002119	cmax	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70918	cmax	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002121	slope	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C70744	slope	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0001034	thyrotropin-releasing hormone	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C136413	thyrotropin-releasing hormone	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	8	AML;BioPortal;FCAMapKG;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0001033	thyroid-stimulating hormone	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C2280	thyroid-stimulating hormone	0.925	5	AML;FCA-Map;LogMap;PAXO;YAM	8	AML;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0001030	thapsigargin	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C128634	thapsigargin	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002010	nucleotide	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C709	nucleotide	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002135	solubility	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60821	solubility	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	7	AML;BioPortal;FCAMapKG;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000193	fold change	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C60693	fold change	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0001009	rhodamine	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C806	rhodamine	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000037	labeled	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43386	labeled	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000279	enzyme	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16554	enzyme	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000036	radiolabeled	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18138	radiolabeled	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000277	chaperone	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17764	chaperone	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002580	malachite green	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C75426	malachite green	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0002221	homology modeling	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19234	homology modeling	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000287	hydrolase	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16701	hydrolase	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0001013	rolipram	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72842	rolipram	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000286	nuclear receptor	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17671	nuclear receptor	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000284	g protein coupled receptor	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18239	g protein-coupled receptor	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	8	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0001251	increase	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C25533	increase	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000282	transcription factor	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17207	transcription factor	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
http://www.bioassayontology.org/bao#BAO_0000281	receptor	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C18106	receptor	1.0	6	AML;BioPortal;FCA-Map;LogMap;PAXO;YAM	9	AML;BioPortal;FCAMapKG;LogMap;LogMapBio;LogMapLt;PAXO_Relaxed;PAXO_Strict;YAMBIO
