#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/DOID_8717	decubitus ulcer any site	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C50706	pressure sore	0.7	2	AML;LogMap	2	AML;LogMap
http://purl.obolibrary.org/obo/DOID_3025	acinar cell carcinoma	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3768	acinar cell carcinoma	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/DOID_8712	recklinghausen's neurofibromatosis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C6727	neurofibromatosis	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/DOID_8712	recklinghausen's neurofibromatosis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3273	neurofibromatosis type 1	0.7	2	AML;LogMap	2	AML;LogMap
http://purl.obolibrary.org/obo/DOID_8712	recklinghausen's neurofibromatosis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3274	neurofibromatosis type 2	0.7	2	AML;LogMap	2	AML;LogMap
http://purl.obolibrary.org/obo/DOID_5688	werner's syndrome	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C3447	werner syndrome	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/DOID_5683	hereditary breast ovarian cancer syndrome	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C8493	hereditary breast and ovarian cancer syndrome	0.85	3	AML;LogMap;YAM	3	AML;LogMap;YAMBIO
http://purl.obolibrary.org/obo/DOID_5684	spondylar and nasal alterations-striated metaphyses syndrome	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C129031	spondyloepimetaphyseal dysplasia, sponastrime type	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/CHEBI_35498	diuretic	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C448	diuretic	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/CHEBI_35499	hallucinogen	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C105554	hallucinogen	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
