#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://www.orpha.net/ORDO/Orphanet_125	bs	http://purl.bioontology.org/ontology/MESH/D001816	bloom's syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_127	bfls	http://purl.bioontology.org/ontology/MESH/C536575	borjeson syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_2565	mononen-karnes-senac syndrome	http://purl.bioontology.org/ontology/MESH/C535914	mononen karnes senac syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_1231	barber-say syndrome	http://purl.bioontology.org/ontology/MESH/C537908	barber-say syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_2561	ackerman syndrome	http://purl.bioontology.org/ontology/MESH/C538170	molar roots, pyramidal, with juvenile glaucoma and unusual upper lip	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_1237	hydrocephalus, cardiac malformation, dense bones, etc	http://purl.bioontology.org/ontology/MESH/C537668	beemer ertbruggen syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_2564	tetramelic monodactyly	http://purl.bioontology.org/ontology/MESH/C566066	tetramelic monodactyly	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_1239	optic atrophy, infantile hereditary, behr complicated form of	http://purl.bioontology.org/ontology/MESH/C537669	behr syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_79434	albinism, oculocutaneous, type ib; oca1b	http://purl.bioontology.org/ontology/MESH/C537729	oculocutaneous albinism, type ib	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_79433	oculocutaneous albinism, type 3	http://purl.bioontology.org/ontology/MESH/C537731	oculocutaneous albinism type 3	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_112	potassium wasting	http://purl.bioontology.org/ontology/MESH/D001477	syndrome, bartter's	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_115	ear anomalies-contractures-dysplasia of bone with kyphoscoliosis	http://purl.bioontology.org/ontology/MESH/C536211	beals-hecht syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_114	multiple osseous dysplasia, characteristic ear shape, and short stature	http://purl.bioontology.org/ontology/MESH/C538271	auriculoosteodysplasia	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_1240	intellectual disability-short stature-wedge-shaped epiphyses of knees syndrome	http://purl.bioontology.org/ontology/MESH/C537350	metaphyseal acroscyphodysplasia	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_116	beckwith-wiedemann syndrome	http://purl.bioontology.org/ontology/MESH/D001506	exomphalos-macroglossia-gigantism syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_118	beta-mannosidase deficiency	http://purl.bioontology.org/ontology/MESH/D044905	beta-mannosidoses	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://purl.obolibrary.org/obo/CHEBI_27881	inchi=1/c14h12o3/c15-12-5-3-10(4-6-12)1-2-11-7-13(16)9-14(17)8-11/h1-9,15-17h	http://purl.bioontology.org/ontology/MESH/D000077185	resveratrol	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_2576	perheentupa syndrome	http://purl.bioontology.org/ontology/MESH/D050336	mulibrey nanism syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_2573	progressive intracranial arterial occlusion	http://purl.bioontology.org/ontology/MESH/D009072	cerebrovascular moyamoya disease	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_111	x-linked cardioskeletal myopathy and neutropenia	http://purl.bioontology.org/ontology/MESH/D056889	3-methylglutaconicaciduria type ii	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_1246	brachydactyly - nystagmus - cerebellar ataxia	http://purl.bioontology.org/ontology/MESH/C566192	brachydactyly-nystagmus-cerebellar ataxia	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_79432	albinism, oculocutaneous, type 2	http://purl.bioontology.org/ontology/MESH/C537730	albinism, oculocutaneous, type ii	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_110	laurence-moon-bardet-biedl syndrome	http://purl.bioontology.org/ontology/MESH/D020788	syndrome, bardet-biedl	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_79401	epidermolysis bullosa simplex ogna type	http://purl.bioontology.org/ontology/MESH/C535962	epidermolysis bullosa simplex 1	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_145	hboc syndrome	http://purl.bioontology.org/ontology/MESH/D061325	hereditary breast and ovarian cancer syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_148	mcd	http://purl.bioontology.org/ontology/MESH/D009100	multiple carboxylase deficiencies	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://purl.obolibrary.org/obo/NCBITaxon_12139	southern bean mosaic virus	http://purl.bioontology.org/ontology/MESH/C000623724	southern bean mosaic virus	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_2587	mpo deficiency	http://purl.bioontology.org/ontology/MESH/C562864	myeloperoxidase deficiency	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_140	campomelic dysplasia	http://purl.bioontology.org/ontology/MESH/D055036	campomelic syndrome	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_1259	blepharoptosis - myopia - ectopia lentis	http://purl.bioontology.org/ontology/MESH/C536236	dominantly inherited blepharoptosis, high myopia, and ectopia lentis	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://purl.obolibrary.org/obo/NCBITaxon_34	myxococcus xanthus	http://purl.bioontology.org/ontology/MESH/D016941	myxococcus xanthus	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://purl.obolibrary.org/obo/CHEBI_2274	7-methylguanine	http://purl.bioontology.org/ontology/MESH/C008450	7-methylguanine	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.ebi.ac.uk/efo/EFO_0001666	aortic aneurysm	http://purl.bioontology.org/ontology/MESH/D001014	aortic aneurysm	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_79411	epidermolysis bullosa dystrophica, neonatal form	http://purl.bioontology.org/ontology/MESH/C536979	epidermolysis bullosa dystrophica, dominant neonatal form	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
http://www.orpha.net/ORDO/Orphanet_136	cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy	http://purl.bioontology.org/ontology/MESH/D046589	cadasil	1.0	3	AML;LogMap;loom	3	AML;LogMapLt;loom
