#URI 1	Label 1	URI 2	Label 2	Confidence	Family votes	Families	System votes	Systems
http://purl.obolibrary.org/obo/NCBITaxon_1423	bacillus subtilis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86167	bacillus subtilis	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_4932	saccharomyces cerevisiae	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C14271	saccharomyces cerevisiae	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_1781	mycobacterium marinum	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86545	mycobacterium marinum	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.org/net/OCRe/research.owl#Cross-sectional_study	cross-sectional study	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C53310	cross-sectional study	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_1300	streptococcaceae	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85967	streptococcaceae	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/OBI_0000661	elisa	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C16553	elisa	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/OBI_0000422	syringe	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C43202	syringe	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_48106	centella asiatica	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72337	centella asiatica	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_1305	streptococcus sanguinis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86806	streptococcus sanguinis	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/OBI_0302902	immobilization	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C142778	immobilization	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_3728	sinapis alba	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C73982	sinapis alba	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/ERO_0001332	capillary electrophoresis	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17637	capillary electrophoresis	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_49797	baptisia tinctoria	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72261	baptisia tinctoria	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_72341	artemisia dracunculus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C74478	artemisia dracunculus	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/ERO_0000361	hemocytometer	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C78807	hemocytometer	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://vivoweb.org/ontology/core#Team	team	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C86041	team	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_71251	chelidonium majus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72282	chelidonium majus	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_10090	mus musculus	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C45247	mus musculus	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/ERO_0001331	electrospray ionization	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C19363	electrospray ionization	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/ERO_0001219	quality control	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C15311	quality control	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
http://purl.obolibrary.org/obo/NCBITaxon_124943	azadirachta indica	http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C72259	azadirachta indica	1.0	4	AML;LogMap;YAM;loom	4	AML;LogMap;YAMBIO;loom
